todo-package	Agda.Syntax.Parser.Lexer	Parser	624639520	164.878
todo-package	Agda.Syntax.Parser.Lexer	Renamer/typechecker	54803176	33.951
todo-package	Agda.Syntax.Parser.Lexer	Desugar	7488200	3.647
todo-package	Agda.Syntax.Parser.Lexer	Simplifier	27870712	11.993
todo-package	Agda.Syntax.Parser.Lexer	CoreTidy	2790768	1.654
todo-package	Agda.Syntax.Parser.Lexer	CorePrep	9096280	4.448
todo-package	Agda.Syntax.Parser.Lexer	CoreToStg	31153568	17.443
todo-package	Agda.Syntax.Parser.Lexer	CodeGen	416338776	146.184
todo-package	./dist-2.6.4-ghc-9.6.2-quick/build/Agda/Syntax/Parser/Lexer.hi	WriteIface	1305256	0.287
ghc	systool	systool:cpp	245352	0.410
ghc	systool	systool:as	112248	0.248
todo-package	Agda.Syntax.Parser.Parser	CorePrep	30591912	14.993
todo-package	Agda.Syntax.Parser.Parser	CoreToStg	119434000	80.059
todo-package	Agda.Syntax.Parser.Parser	CodeGen	1504536520	780.904
todo-package	./dist-2.6.4-ghc-9.6.2-quick/build/Agda/Syntax/Parser/Parser.dyn_hi	WriteIface	2381096	0.897
ghc	systool	systool:as	100560	0.464
todo-package	Agda.Syntax.Parser.Parser	Parser	451025064	155.164
todo-package	Agda.Syntax.Parser.Parser	Renamer/typechecker	441997848	255.176
todo-package	Agda.Syntax.Parser.Parser	Desugar	37718632	54.482
todo-package	Agda.Syntax.Parser.Parser	Simplifier	476750600	423.494
todo-package	Agda.Syntax.Parser.Parser	CoreTidy	44178336	20.501
todo-package	Agda.Syntax.Parser.Parser	CorePrep	30617744	13.530
todo-package	Agda.Syntax.Parser.Parser	CoreToStg	120048744	81.965
todo-package	Agda.Syntax.Parser.Parser	CodeGen	1400615728	738.543
todo-package	./dist-2.6.4-ghc-9.6.2-quick/build/Agda/Syntax/Parser/Parser.hi	WriteIface	2380088	1.033
ghc	systool	systool:cpp	243720	0.420
ghc	systool	systool:as	112576	0.543
todo-package	Agda.Syntax.Parser.Lexer	CorePrep	9093920	3.749
todo-package	Agda.Syntax.Parser.Lexer	CoreToStg	31285032	15.170
todo-package	Agda.Syntax.Parser.Lexer	CodeGen	422131272	144.619
todo-package	./dist-2.6.4-ghc-9.6.2-quick/build/Agda/Syntax/Parser/Lexer.dyn_hi	WriteIface	1306280	0.269
ghc	systool	systool:as	100504	0.256
todo-package	Paths_Agda	CorePrep	195016	0.119
todo-package	Paths_Agda	CoreToStg	498816	0.254
todo-package	Paths_Agda	CodeGen	12386696	6.218
todo-package	./dist-2.6.4-ghc-9.6.2-quick/build/Paths_Agda.dyn_hi	WriteIface	1123816	0.099
ghc	systool	systool:as	99608	0.201
todo-package	Paths_Agda	Parser	5811392	1.307
todo-package	Paths_Agda	Renamer/typechecker	2509512	1.649
todo-package	Paths_Agda	Desugar	487952	0.288
todo-package	Paths_Agda	Simplifier	1037256	0.581
todo-package	Paths_Agda	CoreTidy	187832	0.145
todo-package	Paths_Agda	CorePrep	195016	0.098
todo-package	Paths_Agda	CoreToStg	498792	0.224
todo-package	Paths_Agda	CodeGen	11660680	6.107
todo-package	./dist-2.6.4-ghc-9.6.2-quick/build/Paths_Agda.hi	WriteIface	1122824	0.135
ghc	systool	systool:cpp	245112	0.272
ghc	systool	systool:as	110184	0.167
todo-package	Agda.TypeChecking.With	CorePrep	4850704	2.556
todo-package	Agda.TypeChecking.With	CoreToStg	14017152	6.395
todo-package	Agda.TypeChecking.With	CodeGen	336620752	190.234
todo-package	./dist-2.6.4-ghc-9.6.2-quick/build/Agda/TypeChecking/With.dyn_hi	WriteIface	1384344	0.346
ghc	systool	systool:as	100328	0.321
todo-package	Agda.TypeChecking.Substitute	CorePrep	14055656	6.508
todo-package	Agda.TypeChecking.Substitute	CoreToStg	46927064	23.938
todo-package	Agda.TypeChecking.Substitute	CodeGen	871924344	444.938
todo-package	./dist-2.6.4-ghc-9.6.2-quick/build/Agda/TypeChecking/Substitute.dyn_hi	WriteIface	1825024	0.671
ghc	systool	systool:as	100616	0.397
todo-package	Agda.TypeChecking.Conversion.Pure	CorePrep	2666592	2.576
todo-package	Agda.TypeChecking.Conversion.Pure	CoreToStg	6949240	11.645
todo-package	Agda.TypeChecking.Conversion.Pure	CodeGen	157794240	98.792
todo-package	./dist-2.6.4-ghc-9.6.2-quick/build/Agda/TypeChecking/Conversion/Pure.dyn_hi	WriteIface	1350952	0.345
ghc	systool	systool:as	101008	0.253
todo-package	Agda.TypeChecking.Conversion.Pure	Parser	4948536	1.832
todo-package	Agda.TypeChecking.Conversion.Pure	Renamer/typechecker	61180784	31.200
todo-package	Agda.TypeChecking.Conversion.Pure	Desugar	16289384	15.798
todo-package	Agda.TypeChecking.Conversion.Pure	Simplifier	38216472	21.459
todo-package	Agda.TypeChecking.Conversion.Pure	CoreTidy	2898104	3.164
todo-package	Agda.TypeChecking.Conversion.Pure	CorePrep	2667856	1.529
todo-package	Agda.TypeChecking.Conversion.Pure	CoreToStg	6949896	3.407
todo-package	Agda.TypeChecking.Conversion.Pure	CodeGen	146157616	86.902
todo-package	./dist-2.6.4-ghc-9.6.2-quick/build/Agda/TypeChecking/Conversion/Pure.hi	WriteIface	1349976	0.366
ghc	systool	systool:as	108904	0.287
todo-package	Agda.TypeChecking.Errors	CorePrep	10701792	4.624
todo-package	Agda.TypeChecking.Errors	CoreToStg	35306648	29.028
todo-package	Agda.TypeChecking.Errors	CodeGen	828880664	516.537
todo-package	./dist-2.6.4-ghc-9.6.2-quick/build/Agda/TypeChecking/Errors.dyn_hi	WriteIface	1575088	1.135
ghc	systool	systool:touch	74968	0.132
ghc	systool	systool:as	100432	0.428
todo-package	Agda.TypeChecking.Generalize	Parser	25957888	8.624
todo-package	Agda.TypeChecking.Generalize	Renamer/typechecker	99249360	75.631
todo-package	Agda.TypeChecking.Generalize	Desugar	12566824	7.889
todo-package	Agda.TypeChecking.Generalize	Simplifier	48607616	40.494
todo-package	Agda.TypeChecking.Generalize	CoreTidy	3970136	5.050
todo-package	Agda.TypeChecking.Generalize	CorePrep	6877952	4.970
todo-package	Agda.TypeChecking.Generalize	CoreToStg	20104960	19.725
todo-package	Agda.TypeChecking.Generalize	CodeGen	419895312	276.545
todo-package	./dist-2.6.4-ghc-9.6.2-quick/build/Agda/TypeChecking/Generalize.hi	WriteIface	1456648	0.439
ghc	systool	systool:as	107648	0.270
todo-package	Agda.TypeChecking.Reduce.Fast	CorePrep	9852248	4.191
todo-package	Agda.TypeChecking.Reduce.Fast	CoreToStg	33791552	17.805
todo-package	Agda.TypeChecking.Reduce.Fast	CodeGen	585225968	298.385
todo-package	./dist-2.6.4-ghc-9.6.2-quick/build/Agda/TypeChecking/Reduce/Fast.dyn_hi	WriteIface	1613696	0.524
ghc	systool	systool:touch	74992	0.125
ghc	systool	systool:as	100752	0.344
todo-package	Agda.TypeChecking.Reduce.Monad	Parser	2534688	0.853
todo-package	Agda.TypeChecking.Reduce.Monad	Renamer/typechecker	16673488	7.554
todo-package	Agda.TypeChecking.Reduce.Monad	Desugar	1476336	0.707
todo-package	Agda.TypeChecking.Reduce.Monad	Simplifier	5520272	6.157
todo-package	Agda.TypeChecking.Reduce.Monad	CoreTidy	494504	0.289
todo-package	Agda.TypeChecking.Reduce.Monad	CorePrep	590840	0.277
todo-package	Agda.TypeChecking.Reduce.Monad	CoreToStg	1487296	0.710
