How many times specializaion failed for a symbol during Agda build, without -foptimise-heavily

Total number of failed specs: 5769
Distinct symbols: 1645

("Agda.TypeChecking.Monad.Base.$fReadTCStateTCMT",97)
("Agda.TypeChecking.Monad.Base.$fHasOptionsTCMT",80)
("Agda.TypeChecking.Monad.Base.$fMonadFreshiTCMT",76)
("Agda.TypeChecking.Monad.Base.$fMonadTCEnvTCMT",76)
("useTC",60)
("ghc-prim:GHC.Classes.C:Ord",57)
("ghc-prim:GHC.Classes.$fEqList_$c==",53)
("Agda.Syntax.Translation.AbstractToConcrete.runAbsToCon",50)
("GHC.List.elem",50)
("Agda.TypeChecking.Monad.Builtin.$fHasBuiltinsTCMT",48)
("Agda.TypeChecking.Monad.Base.$fMonadFailTCMT",47)
("Agda.TypeChecking.Pretty.$fPrettyTCMCandidate_$cprettyTCM1",45)
("prettyList_",44)
("typeError",44)
("Agda.TypeChecking.Pretty.$fPrettyTCMCompareAs_$cprettyTCM1",43)
("Agda.TypeChecking.Monad.Base.$fMonadTCStateTCMT2",42)
("Agda.TypeChecking.Monad.Base.$fMonadReduceTCMT",40)
("Agda.TypeChecking.Monad.Context.$fAddContextTele_$caddContext",39)
("Agda.TypeChecking.Pretty.$fPrettyTCMPrettyContext_$cprettyTCM1",36)
("Test.QuickCheck.Property.$fTestableFUN_$cpropertyForAllShrinkShow",36)
("downFrom",35)
("GHC.Base.C:Monoid",33)
("consS",33)
("Agda.TypeChecking.Pretty.$fPrettyTCMRewriteRule_$sfsep",32)
("Agda.TypeChecking.Monad.Base.$fReadTCStateTCMT_$cp3HasOptions",30)
("Agda.TypeChecking.Pretty.$wprettyList",30)
("lookup",30)
("Agda.TypeChecking.Substitute.Class.$wsingletonS",29)
("Data.Traversable.C:Traversable",29)
("GHC.Show.$fShowMaybe_$cshowsPrec",27)
("useR",26)
("Data.Strict.Maybe.$fShowMaybe",25)
("Agda.TypeChecking.Substitute.$fSubstType''",24)
("Agda.TypeChecking.Telescope.$wtelViewUpTo'",24)
("__IMPOSSIBLE_VERBOSE__",24)
("Agda.TypeChecking.Monad.Base.$fHasOptionsTCMT_$cp1MonadTCM",23)
("GHC.Base.C:Applicative",23)
("Agda.Syntax.Common.$w$cshowsPrec2",22)
("Test.QuickCheck.Property.$fTestableFUN",22)
("buildClosure",22)
("punctuate",21)
("Agda.Syntax.Position.$fHasRangeList_$cgetRange",20)
("Agda.TypeChecking.Pretty.$fPrettyTCMArg4_$cprettyTCM",20)
("GHC.Show.$fShowList",20)
("GHC.Show.$w$cshowsPrec",20)
("nextFresh",20)
("Data.HashMap.Internal.hash",19)
("composeS",19)
("reportSDoc",19)
("Agda.Syntax.Common.$fShowWithOrigin",18)
("Agda.Syntax.Position.$fShowRange'_$cshowsPrec",18)
("Agda.TypeChecking.Monad.Closure.enterClosure_$senterClosure",18)
("Agda.Syntax.Concrete.Pretty.$fPrettyArg_$cprettyPrec",17)
("Agda.TypeChecking.Pretty.$fPrettyTCMElim'1_$cprettyTCM",17)
("Data.Set.Internal.$fEqSet_$c==",17)
("GHC.Base.C:Monad",17)
("GHC.Show.$fShow(,)_$cshowsPrec",17)
("Test.QuickCheck.Gen.variant1",17)
("ghc-prim:GHC.Classes.$fOrdList_$ccompare",17)
("Agda.Syntax.Common.$fShowArg_$cshowsPrec5",16)
("Agda.Syntax.Concrete.Pretty.$fPrettyArg_$cprettyList",16)
("Agda.Syntax.Internal.$fShowType''_$cshowsPrec",16)
("Agda.TypeChecking.Free.Lazy.$fFree(,,)_$cfreeVars'1",16)
("Agda.TypeChecking.Monad.Base.$fHasOptionsTCMT_$ccommandLineOptions",16)
("prettyList",16)
("Agda.Syntax.Position.$fPrettyInterval'_$cpretty",15)
("Agda.TypeChecking.Monad.Base.$fMonadTCMTCMT",15)
("Agda.TypeChecking.Monad.Base.$fReadTCStateTCMT_$clocallyTCState",15)
("Agda.TypeChecking.Monad.Context.$fAddContext(,)0_$caddContext",15)
("Data.Set.Internal.$fMonoidSet",15)
("GHC.Show.$fShowNonEmpty_$cshowsPrec",15)
("hasVerbosity",15)
("Agda.Syntax.Common.$fShowNamed",14)
("Agda.Syntax.Common.Pretty.$fPrettyList",14)
("nubOn",14)
("Agda.Syntax.Concrete.Pretty.$fPretty(,)_$cprettyList",13)
("Agda.TypeChecking.Free.Lazy.$fFreeEqualityView_$s$cfreeVars'",13)
("Agda.TypeChecking.Monad.Base.$fMonadTCStateTCMT",13)
("Agda.TypeChecking.Pretty.$fPrettyTCMDom'0_$cprettyTCM",13)
("Agda.TypeChecking.Pretty.$fPrettyTCMNLPSort_$cprettyTCM1",13)
("Agda.TypeChecking.Substitute.$fSubstDom'",13)
("vcat",13)
("Agda.Syntax.Position.C:SetRange",12)
("Agda.Syntax.Translation.AbstractToConcrete.$fToConcreteArg_$ctoConcrete",12)
("Agda.TypeChecking.Pretty.$fPrettyTCMMetaId_$cprettyTCM",12)
("Agda.TypeChecking.Pretty.$fPrettyTCMPattern'_$cprettyTCM",12)
("Agda.TypeChecking.Telescope.$fPiApplyMTerm_$cpiApplyM'",12)
("Data.Strict.Maybe.$fEqMaybe",12)
("List.isPrefixOf",12)
("compareAs",12)
("getBuiltin",12)
("getPrimitive",12)
("Agda.Syntax.Concrete.Pretty.$fPrettyNamed",11)
("Agda.Syntax.Internal.MetaVars.allMetas'_$sallMetas'1",11)
("Agda.Syntax.Position.$fEqRange'_$c==",11)
("Agda.Syntax.Translation.AbstractToConcrete.$fToConcreteNamed",11)
("Agda.TypeChecking.Monad.Modality.applyModalityToContextFunBody_$sapplyQuantityToJudgement",11)
("Agda.TypeChecking.Pretty.$fPrettyTCM(,)_$cprettyTCM",11)
("Control.Monad.Trans.State.Lazy.$fMonadStateT",11)
("ghc-prim:GHC.Classes.$fEq(,)",11)
("telViewUpTo'",11)
("Agda.Syntax.Internal.$fPrettySubstitution'_$cprettyPrec",10)
("Agda.TypeChecking.Substitute.$fSubstTele",10)
("Agda.TypeChecking.Telescope.$wtelViewUpToPath",10)
